Name,Rider Number,Team,H,M,S
P. ROGLIC,1,RED BULL - BORA - HANSGROHE,4,26,49
L. VAN EETVELT,2,LOTTO DSTNY,4,26,49
J. ALMEIDA,3,UAE TEAM EMIRATES,4,26,49
E. MAS,4,MOVISTAR TEAM,4,26,49
F. GALL,5,DECATHLON AG2R LA MONDIALE TEAM,4,26,49
M. RICCITELLO,6,ISRAEL - PREMIER TECH,4,26,49
M. LANDA,7,T-REX – Quick-Step,4,26,49
A. TIBERI,8,BAHRAIN VICTORIOUS,4,27,7
G. BENNETT,9,ISRAEL - PREMIER TECH,4,27,17
P. SIVAKOV,10,UAE TEAM EMIRATES,4,27,17
S. KUSS,11,TEAM VISMA | LEASE A BIKE,4,27,17
A. VLASOV,12,RED BULL - BORA - HANSGROHE,4,27,27
L. FORTUNATO,13,ASTANA QAZAQSTAN TEAM,4,27,27
A. KRON,14,LOTTO DSTNY,4,27,29
D. GAUDU,15,GROUPAMA-FDJ,4,27,29
M. SKJELMOSE,16,LIDL-TREK,4,27,32
J. HAIG,17,BAHRAIN VICTORIOUS,4,27,32
E. RUBIO REYES,18,MOVISTAR TEAM,4,27,32
C. RODRIGUEZ,19,ARKEA-B&B HOTELS,4,27,40
I. DEL TORO ROMERO,20,UAE TEAM EMIRATES,4,27,40
C. RODRIGUEZ,21,INEOS GRENADIERS,4,27,40
B. MCNULTY,22,UAE TEAM EMIRATES,4,27,46
B. O'CONNOR,23,DECATHLON AG2R LA MONDIALE TEAM,4,28,0
R. TAARAMÄE,24,INTERMARCHÉ - WANTY,4,28,4
R. CARAPAZ,25,EF EDUCATION - EASYPOST,4,28,18
A. YATES,26,UAE TEAM EMIRATES,4,28,18
F. LIPOWITZ,27,RED BULL - BORA - HANSGROHE,4,28,25
C. BERTHET,28,DECATHLON AG2R LA MONDIALE TEAM,4,28,25
C. UIJTDEBROEKS,29,TEAM VISMA | LEASE A BIKE,4,28,27
R. ROCHAS,30,GROUPAMA-FDJ,4,28,29
H. TEJADA,31,ASTANA QAZAQSTAN TEAM,4,28,33
U. BERRADE FERNANDEZ,32,EQUIPO KERN PHARMA,4,28,33
G. MARTIN,33,COFIDIS,4,28,37
N. QUINTANA,34,MOVISTAR TEAM,4,29,5
L. MEINTJES,35,INTERMARCHÉ - WANTY,4,29,12
L. DE PLUS,36,INEOS GRENADIERS,4,29,24
J. PARRA CUERDA,37,EQUIPO KERN PHARMA,4,29,24
J. BOU COMPANY,38,EUSKALTEL-EUSKADI,4,29,24
T. ARENSMAN,39,INEOS GRENADIERS,4,29,24
G. MARTIN SANZ,40,EUSKALTEL-EUSKADI,4,29,51
E. DUNBAR,41,TEAM JAYCO ALULA,4,29,51
A. CEPEDA,42,EF EDUCATION - EASYPOST,4,30,22
I. IZAGIRRE,43,COFIDIS,4,30,22
B. ARMIRAIL,44,DECATHLON AG2R LA MONDIALE TEAM,4,30,22
D. CARUSO,45,BAHRAIN VICTORIOUS,4,30,22
M. WOODS,46,ISRAEL - PREMIER TECH,4,30,32
M. POOLE,47,TEAM DSM-FIRMENICH POSTNL,4,30,32
V. PARET PEINTRE,48,DECATHLON AG2R LA MONDIALE TEAM,4,30,42
D. MARTINEZ POVEDA,49,RED BULL - BORA - HANSGROHE,4,30,59
S. OOMEN,50,LIDL-TREK,4,31,17
M. VANSEVENANT,51,T-REX – Quick-Step,4,32,2
Q. PACHER,52,GROUPAMA-FDJ,4,32,17
M. RIES,53,ARKEA-B&B HOTELS,4,32,17
W. LECERF,54,T-REX – Quick-Step,4,32,17
M. TUSVELD,55,TEAM DSM-FIRMENICH POSTNL,4,32,52
O. RODRIGUEZ GARAICOECHEA,56,INEOS GRENADIERS,4,32,52
K. GOOSSENS,57,INTERMARCHÉ - WANTY,4,33,15
L. MATE MARDONES,58,EUSKALTEL-EUSKADI,4,34,29
M. SOLER,59,UAE TEAM EMIRATES,4,34,29
C. VERONA,60,LIDL-TREK,4,34,29
J. LASTRA,61,COFIDIS,4,34,29
P. CASTRILLO ZAPATER,62,EQUIPO KERN PHARMA,4,34,29
J. GUTIERREZ GONZALEZ,63,EQUIPO KERN PHARMA,4,34,29
N. OLIVEIRA,64,MOVISTAR TEAM,4,34,29
G. CICCONE,65,LIDL-TREK,4,34,29
T. GEOGHEGAN HART,66,LIDL-TREK,4,34,29
J. VINE,67,UAE TEAM EMIRATES,4,34,29
R. FERNANDEZ,68,COFIDIS,4,34,47
U. IRIBAR JAUREGI,69,EQUIPO KERN PHARMA,4,34,47
X. BERASATEGI GARMENDIA,70,EUSKALTEL-EUSKADI,4,34,47
G. GAROFOLI,71,ASTANA QAZAQSTAN TEAM,4,34,47
L. HUYS,72,ARKEA-B&B HOTELS,4,34,47
M. FRIGO,73,ISRAEL - PREMIER TECH,4,34,47
G. LEEMREIZE,74,TEAM DSM-FIRMENICH POSTNL,4,34,47
L. ROTA,75,INTERMARCHÉ - WANTY,4,34,47
H. LOPEZ GRANIZO,76,ASTANA QAZAQSTAN TEAM,4,34,58
S. KRUIJSWIJK,77,TEAM VISMA | LEASE A BIKE,4,34,59
G. ALEOTTI,78,RED BULL - BORA - HANSGROHE,4,35,28
S. GUGLIELMI,79,ARKEA-B&B HOTELS,4,35,28
L. VERVAEKE,80,T-REX – Quick-Step,4,35,28
G. BOUCHARD,81,DECATHLON AG2R LA MONDIALE TEAM,4,35,28
S. KÜNG,82,GROUPAMA-FDJ,4,35,28
P. KONRAD,83,LIDL-TREK,4,35,28
C. HARPER,84,TEAM JAYCO ALULA,4,35,28
J. HERRADA,85,COFIDIS,4,35,28
J. NARVAEZ PRADO,86,INEOS GRENADIERS,4,35,28
S. PETILLI,87,INTERMARCHÉ - WANTY,4,35,44
